Meeting:NewspaperText,Meeting:Date of meeting,Meeting:Place,Geolocation:latitude,Geolocation:longitude,Geolocation:zoom_level,Meeting:Newspaper,Dublin Core:Date,itemType
"ON MONDAY EVENING, a meeting will be held in the Co-operative Hall, Sunderland, to form a Teetotal Charter Association.",,"On Monday Evening, A Meeting Will Be Held In The Co-operative Hall, Sunderland, To Form A Teetotal Charter Association",54.9063791,-1.375053,7,Northern Star,27/03/1841,Meeting
"DURHAM.   On Monday evening, Mr. Deegan, or Mr. Williams, will address the Chartists of this city at Mr. Bradford s.",,Durham,54.7764152,-1.5758539,7,Northern Star,27/03/1841,Meeting
"BRADFORD.   THE RURAL POLICE. The rate payers of Horton are about to hold a public meeting for the purpose of memorialising the West-Riding Magistrates, while assembled at Wakefield, to consider of the mode of introducing the Rural Police, that they may deem it meet not to introduce that force into the Riding in any shape whatever. The meeting, which is called conjointly by Whigs, Tories, and Radicals, is, we hear, to take place on Tuesday next, in the Bell Chapel School Room, at four o clock in the afternoon. ",,Bradford,53.7941567,-1.7494778,7,Northern Star,27/03/1841,Meeting
"LIVERPOOL.   Mr. M Cartney purposes lecturing on next Wednesday, in the Chartists  Hall, Preston street.",,Liverpool,53.4054719,-2.9805393,7,Northern Star,27/03/1841,Meeting
"LEICESTER.   On Monday noon, at one o clock, there will be a public meeting to consider the propriety of nominating a delegate to the   Prisoners  Petition, &e. Convention. ",,Leicester,52.6367811,-1.1312289,7,Northern Star,27/03/1841,Meeting
"MANCHESTER AND NEIGHBOURING DISTRICT.   Mr Leech will lecture at the following places during the next week: - On Sunday, the 28th, at Radcliffe Bridge; Monday, 29th, at Middleton; Wednesday, 31st, at Oldham; Thursday, the 1st of April, at Brown Street, East Manchester ; Friday; 2nd, at Failsworth,
Sunday, 4th, at Rochdale, in the afternoon, and at Milnrow at six o clock in the evening.  Mr. Butterworth will lecture, at Rochdale, on Monday evening ; Burnley, Tuesday evening; Colne, Wednesday even ing; Blackburn, Thursday evening; Preston, Friday evening; and Wigan on Saturday evening.  Dr. M Douall will lecture in Mr, Price s mill, Newton Heath, on Sunday, the 4th of April, at four o clock in the afternoon. Subject,   The Old and New Poor Laws. ",,Manchester And Neighbouring District,53.4791466,-2.2447445,7,Northern Star,27/03/1841,Meeting
"WEST-RIDING.   Mr. Arran, the West-Riding mis sionary, will deliver lectures at the following places-:   On Sunday, the 28th of March, he will preach a Char tist sermon at Gawthorpe ; on Tuesday, the 30th, he will attend a public meeting, which will be held for the purpose of adopting the National Petition, in the large room over the Co-operative Stores, Dewsbury, at seven o'clock in the evening; on Wednesday, the 31st, he will lecture at Wakefield; on Thursday, April 1st, at Barnsley; on Friday, the 2nd, at Sheffield; and on Saturday, the 3rd, at Chesterfield and Brampton.",,West-riding,53.75,-1.666667,7,Northern Star,27/03/1841,Meeting
"BARNSLEY.   The Rev. Wm, Hill will preach a ser mon for Clayton, in the Odd Fellows' Hall, to-morrow evening.",,Barnsley,53.5527719,-1.4827755,7,Northern Star,27/03/1841,Meeting
"NEWCASTLE.   A public meeting of the inhabitants of Newcastle and Gateshead will be holden in the Joiners  Hall, on Tuesday evening, the 30th of March, to adopt the National Petition, and to elect a delegate to the Convention. God save the people.
",,Newcastle,54.9770924,-1.6142059,7,Northern Star,27/03/1841,Meeting
"SOUTH LANCASHIRE.   Mr. Leech will visit the following places during the ensuing week: Roch dale, at two o clock, Sunday, 4th of April; Miln-row at six o'clock, Sunday, 4th of April; Unsworth, at six o'clock, Monday, 5th of April; Droylsden, at six o clock, Tuesday, 6th of April; Heywood, at six o clock, Thursday, 8th of April; Ashton, at six o clock, Friday, 9th ,of April; Delph, at six o clock, Saturday, 10th of April; Shaw, at two o clock, Sunday, 11th of April; and Oldham, at six o clock, Sunday, 11th of April.",,South Lancashire,53.8849416,-2.5758971,7,Northern Star,03/04/1841,Meeting
"SUNDERLAND.   On Sunday afternoon Mr. Binns will lecture at the Life Boat House, and in the evening Mr Deegan at the Co-operative Hall. Mr. Williams will deliver an address on Tuesday evening, in the Co operative Hall, on Teetotal Chartism.",,Sunderland,54.9063791,-1.375053,7,Northern Star,03/04/1841,Meeting
"DEVON AND CORNWALL.   A delegate meeting for the counties of Devon and Cornwall, will be held at Totness on Sunday week next, the 11th of April, 1841, at the house of Mr. T. Holman, New Inn, Bridge Town, Totness, at twelve o clock, at which hour all the delegates are requested to attend. Each delegate to bring his credentials with him, in order to certify that he was duly elected, at a public meeting, as a delegate for the place wherein he might reside. The meeting is for the purpose of organising these two counties, also to raise a fund for the purpose of procuring a lecturer for the two counties. Those places in Devon and Cornwall who do not intend to send a delegate, will send a letter directed to the above place; also that each delegate of the various towns will, at the meeting, be prepared to state accurately what sum each place can raise toward the support of the lecturer.",,Devon And Cornwall,50.3475292,-4.2175662,7,Northern Star,03/04/1841,Meeting
REDRUTH.   Mr. E.P. Mead preaches twice to-morrow here.,,Redruth,50.233989,-5.2276468,7,Northern Star,03/04/1841,Meeting
"GWENNAP.   On Easter Monday, Mr. E. P. Mead will address the people at Gwennap Pit. It is hoped that all bodies will form a procession, and cause it to be a great and general meeting of the Western Divi sion, for the adoption of petitions, &c. to the House of Commons.",,Gwennap,50.2180351,-5.171,7,Northern Star,03/04/1841,Meeting
BERMONDSEY.   A special meeting is to be held at the Star Coffee House on Monday evening.,,Bermondsey,51.5017679,-0.0697911,7,Northern Star,03/04/1841,Meeting
MACCLESFIELD.   Mr. West lectures here to-night on the evils of hereditary legislation ; and to-morrow even ing on the evils of a standing army.,,Macclesfield,53.2606635,-2.1255158,7,Northern Star,03/04/1841,Meeting
"CHELSEA.   Mr. Peat lectures at the United Tem perance Coffee House, Lower George s-street, Sloane Square, to-morrow evening, on taxation.",,Chelsea,51.4854247,-0.1654788,7,Northern Star,03/04/1841,Meeting
"BRADFORD.   A public meeting is to be held in Longcroft Place Chapel, at seven o clock this (Saturday) evening, for the purpose of adopting the petition which appeared in the Star on Saturday, the 20th ult. Also to nominate a Stand proper person to sit in the Convention which is to assemble in London.",,Bradford,53.7941567,-1.7494778,7,Northern Star,03/04/1841,Meeting
"GOODMANSEND.   A meeting will be held this evening, (Saturday) at the house of Mr. Goldsbrough, to receive contributions and enrol names. Books open at half-past eight*
HULL.  The Rev. Wm, Hill preaches to-morrow evening, on behalf of the General Victim Fund, in the Freemason s Lodge, Hull, Service to commence at half-past six.",,Goodmansend,53.7931209,-1.7531834,7,Northern Star,03/04/1841,Meeting
"HANLEY, POTTERIES.   Dr. M Douall will deliver a course of lectures in the Staffordshire Potteries, to com mence April 6th.",,"Hanley, Potteries",53.0259916,-2.1753695,7,Northern Star,03/04/1841,Meeting
"DERBYSHIRE.  Mr. Bairstow, Chartist lecturer for the county of Derbyshire, will visit the following places, during the next week, to deliver lectures, and organise the county on the new plan of organisation, namely: At Burton-on-Trent, on Monday, April 5th. This meeting will be held in the Market Place, and it is hoped that any friends favourable to the cause will meet Mr. Bairstow, at Mr. Chambers, carrier, Bottom of the Trent Bridge, to make necessary arrangements. Reply, on Tuesday evening, the 6th, in the Market Place; Willington, on Wednesday evening, the 7th; Mickleover, on Thursday evening, the 8th; and Little- over, on Friday evening, the 9th. As these are entirely new fields of agitation, it is earnestly entreated of all Chartists in these villages to give Mr. Bairstow their countenance and friendly support All the meetings will begin at seven o clock in the evening. Mr. Bairstow will enrol members of the National Charter Asso ciation in all these places, if any be desirous of being enrolled, and forming a strong organisation to secure the attainment of the Charter.
",,Derbyshire,53.1185033,-1.556617831,7,Northern Star,03/04/1841,Meeting
"WEST-RIDING.   Mr. Arran will lecture at the following places : Bradford, on Saturday (this day), April l0th; Halifax, on Sunday, the 11th, at six o clock in the evening ; Heckmondwike, on Monday, the 12th ; Huddersfield, on Tuesday, the 13th ; Lep ton, on Wednesday, the 14th ; Honley, on Thursday, the 15th ; Sowerby, on Friday, the I6ch ; and at Illingworth, on Saturday, the 17th. Also at Queens- head, on Monday, the 19ch ; and Keighley, on Friday, the 20th. The West-Riding Delegate Meeting will be held on Sunday, April 18th, in the large room over the Co-operative Stores, Dewsbury, at which it is hoped a delegate will be present from every town in the Riding.",,West-riding,53.75,-1.666667,7,Northern Star,10/04/1841,Meeting
"SOUTH LANCASHIRE.   The South Lancashire Dele gate Meeting will be held on Sunday morning, April 18th, at ten o clock, in the Charter Association Rooms, Brown-street, Manchester.
Lectures.   Mr. James Leech will lecture at the following places On Monday, April 12th, at Denton ; on Wednesday, the 14th, at Chorlton-upon- Medlock ; on Thursday, the 15th, at Mottram ; on Friday, the 16th, at Milnrow ; and on Sunday, the 18th, at Ratcliffe. Mr. William Butterworth will also lecture at Chowbent on Sunday (to-morrow), April 11th.",,South Lancashire,53.8849416,-2.5758971,7,Northern Star,10/04/1841,Meeting
"WANDSWORTH.   A lecture on Universal Suffrage will be delivered here next Monday week, by Mr. Benjamin Huggett.",,Wandsworth,51.4570271,-0.1932607,7,Northern Star,10/04/1841,Meeting
"BERMONDSEY.   On Tuesday evening next, at the opening of the room, a lecture will be delivered on the principles of the Charter, when we shall be happy to have the attendance of our members and friends.",,Bermondsey,51.5017679,-0.0697911,7,Northern Star,10/04/1841,Meeting
"OLDHAM.   On Sunday (to-morrow) Mr. J. Greaves, of Austerlands, will lecture in the afternoon, and Mr. J. Leach, of Manchester, in the evening.",,Oldham,53.5415797,-2.1147831,7,Northern Star,10/04/1841,Meeting
"STAPLEFORD, NEAR NOTTINGHAM.   Mr. Dorman will preach in the Democratic Chapel, on Sunday next (to-morrow).",,"Stapleford, Near Nottingham",,,7,Northern Star,10/04/1841,Meeting
"HALIFAX.   A public meeting will be held in the Chartist-room, back of Waterhouse-street, over Lynch s Coffee House, this evening, for the purpose of electing a delegate to attend the West Riding delegate meeting, on the 18th inst., after which the adjourned discussion will be resumed, on the best form of Government.",,Halifax,53.725,-1.863,7,Northern Star,10/04/1841,Meeting
"CHESTERFIELD.   At the weekly meeting of the Chartists of Chesterfield and Brampton, on Tuesday evening last, the secretary brought up the report for the past quarter, which was adopted, and the follow ing resolutions were unanimously carried.   That a public meeting will be held on Tuesday evening next, for petitioning Parliament for the release of all political prisoners ; the recal of Frost, Williams, and Jones ; and for restoring to us our rights as Englishmen, by making the People s Charter the law of the land; chair to be taken at half-past six o clock.  That a social tea party will be at the same place, at five o clock on Pastor Tuesday; Mr. R. Ottley, and other friends from Sheffield, are expected.     That our next weekly meeting be held on Sunday evening next, at six o clock, when it is hoped all members will endeavour to be at their post. ",,Chesterfield,53.2352134,-1.4264097,7,Northern Star,10/04/1841,Meeting
"STOCKTON.   The Chartists will hold a public meet ing here on the 12th, when Mr. Williams will deliver an address, to commence at half-past one o'clock.",,Stockton,54.57,-1.32,7,Northern Star,10/04/1841,Meeting
"SUNDERLAND.   On Sunday (to-morrow) afternoon, Mr. Williams will lecture at the Life Boat House, at half-past two o clock; and on Sunday evening, at half-past six o clock, Mr. Deegan will lecture in the Co-operative Hall. ",,Sunderland,54.9063791,-1.375053,7,Northern Star,10/04/1841,Meeting
"LEICESTER.   Mr. Cooper, editor of the Illuminator, to preach in the room at All Saints Open, tomorrow (Sunday) evening ; and a tea meeting for the discussion of plans and prospects, teetotalism, library, a music class, a clothing club, &c., is to take place on the following (Easter Monday) after-noon.",,Leicester,52.6367811,-1.1312289,7,Northern Star,10/04/1841,Meeting
"SHEFFIELD.   The young men s Mutual Instruc tion Society intend holding a Ball, in the room, situated in Porter-street, on Easter Monday ; the profits will be expended in spreading Chartist principles.
",,Sheffield,53.3806626,-1.4702278,7,Northern Star,10/04/1841,Meeting
"COVENTRY.   Mr. Martin will attend at Coventry on Monday next, the 18th of April, and visit other towns in due order.",,Coventry,52.4145039,-1.518763323,7,Northern Star,17/04/1841,Meeting
"WATERLOO TOWN.   On Sunday next, Mr. Wall will lecture at the Bricklayers  Arms, Cheshire-street, Wa terloo Town, on the funding system, to commence at seven o clock.",,Waterloo Town,53.745572,-0.326059111,7,Northern Star,17/04/1841,Meeting
"EAST LONDON DEMOCRATIC ASSOCIATION.   Mr. Edward Pickersgill gave notice of motion for next Sunday evening's discussion, on   the best and easiest means of obtaining the People s Charter. ",,East London Democratic Association,51.5166,-0.075,7,Northern Star,17/04/1841,Meeting
"MERTHYR TYDFIL (GLAMORGANSHIRE).   A discussion will take place at the Working Men s Associa tion Room. The question to be discussed   What are the reasons that the middle classes will not join with the working classes in their desire for Reform ?  It is also proposed that a short explanation of the globe, in Welsh, be given for the benefit of the members.",,Merthyr Tydfil (glamorganshire),,,7,Northern Star,17/04/1841,Meeting
"BELPER.   Mr. Bairstow, the Chartist lecturer, will lecture at the following places in the ensuing week:  Holbrook, on Monday, April 18th; Alfreton, Tuesday, 20th; Swanwick, Wednesday, 21st; Heage, Thursday, 22nd; Belper, Friday, 23rd; and Milford, Saturday, 24th. A delegate meeting will be held at Belper, on Sun day, 25th April, at ten o clock in the morning, at the house of Mr. James.",,Belper,53.0229029,-1.4817414,7,Northern Star,17/04/1841,Meeting
"LAMBETH.   A discussion will take place   on the merits of the new plan of organisation,  at 54, Weller- row, Duke-street, Waterloo-road.",,Lambeth,51.5013012,-0.117287,7,Northern Star,17/04/1841,Meeting
"LEICESTER.   The  Chartist discussion section meets to-night {Saturday}, in the room at All Saints  Open. Mr. Cooper preaches in the same rooms on Sunday even ing. The general financial business of the society will be transacted on Monday evening. The  Chartist tee total section  meets on Tuesday evening; and the  Char tist musical section  meets on Wednesday evening.",,Leicester,52.6367811,-1.1312289,7,Northern Star,17/04/1841,Meeting
"SUNDERLAND.   On Sunday afternoon, Mr. Binns will lecture at the Life-boat House; and, in the even ing, Mr. Williams in the Co-operative Hall.",,Sunderland,54.9063791,-1.375053,7,Northern Star,17/04/1841,Meeting
"DURHAM.   Mr. Deegan will lecture here on Monday evening, at Mr. Bradford s.",,Durham,54.7764152,-1.5758539,7,Northern Star,17/04/1841,Meeting
"SOWERBY.  Mr. John Arran, the West-Riding Lecturer, will deliver a lecture in the Council-room, Sowerby, on Sunday week, at ten o clock in the morn ing, also at six o clock in the evening.",,Sowerby,53.7055036,-1.9324388,7,Northern Star,17/04/1841,Meeting
"STROUDWATER.   Public meetings are to beholden in the Chartist-room, lately the Renter s Chapel, at half-past six in the evening of Saturday the 24th inst.,, to petition Parliament for the release of political prisoners, and to elect a Delegate to the Petition Conven tion, Mr. Vincent lectures on the 25th.",,Stroudwater,43.6561928,-70.3147715,7,Northern Star,17/04/1841,Meeting
"SILSDEN, NEAR KEIGHLEY.   A public meeting is to be holden here on the 20th, to adept the National Petition. Messrs. Rushton, of Halifax, and Knowles, of Bradford, are expected to attend.",,"Silsden, Near Keighley",53.9211034,-1.9189773,7,Northern Star,17/04/1841,Meeting
SALFORD. - Mr. Bell will lecture on Sunday even ing next.,,Salford,53.4877463,-2.2891921,7,Northern Star,24/04/1841,Meeting
"SUNDERLAND.   On Sunday afternoon, at half-past two, Mr. Williams will lecture at the Life-boat House, Sunderland, and Mr. Binns, in the Co-ope rative Hall, in the evening at half-past six o clock.",,Sunderland,54.9063791,-1.375053,7,Northern Star,24/04/1841,Meeting
"WORCESTER.   Mr. W. Dear, tailor, will lecture at Worcester, on Monday next, and following days, through the week. He will also preach there on Sunday next.",,Worcester,52.1918287,-2.2216009,7,Northern Star,24/04/1841,Meeting
"LOUGHBOROUGH.   Mr. Cooper, the Editor of the Illuminator, is to address the friends of freedom, at the Charter Hotel Room, at half-past seven o clock, on Tuesday evening, the 27th.
The General Council will meet on the 25th, at the Association Room, at six o clock, when the attendance of all is requested.",,Loughborough,52.7723859,-1.2077985,7,Northern Star,24/04/1841,Meeting
"ST. PANCRAS.   On Sunday evening next, at eight- o clock, H, B. Marley will close the discussion on the Corn Laws, and reply to those individuals who have taken part in the discussion, at the Goat in Boots, Brook-street, New Road.",,St,51.5318585,0.126603919,7,Northern Star,24/04/1841,Meeting
"MACCLESFIELD.   A public meeting of the sub scribers to, and readers of, the Northern Starr will be held in the Large Room of the Association, Watercotes, on Monday, the 26th instant, at eight o clock, on business connected with the Petition Convention, when all are Requested to attend. On Sunday evening next, a lecture will be delivered by Mr- Joseph Hibbert, in the above room.",,Macclesfield,53.2606635,-2.1255158,7,Northern Star,24/04/1841,Meeting
CONGLETON.   A delegate meeting will be held in Congleton on Sunday next. Delegates from all towns in Cheshire and the Potteries will be expected attend.,,Congleton,53.1631463,-2.2110691,7,Northern Star,24/04/1841,Meeting
"LEICESTER.   The   Chartist Discussion Section  meets to night. Mr. Cooper will preach at Wigston, in the open air, on Sunday morning, if the weather permit; and in the room at All Saints  Open, at night. The general meeting will be held on Mon day night. The   Chartist Teetotal Section  meets on Tuesday night; and the   Chartist Musical Sec tion  on Wednesday night.",,Leicester,52.6367811,-1.1312289,7,Northern Star,24/04/1841,Meeting
"LOUGHBOROUGH.   Mr. Cooper will address the friends of Chartism and Teetotalism, in Mr. Skevington s Rooms, on Tuesday evening, April 27th, Chair to be taken at half-past seven o'clock,
Mr. Wm. Martin, late prisoner in Northallerton House of Correction, will attend at Freeman-street, Birmingham, on Monday evening next, when he is pre pared to meet either Messrs. Collins or O Neil, on the subject of Christian Chartism, and prove that it is cal culated to injure the cause of liberty.
",,Loughborough,52.7723859,-1.2077985,7,Northern Star,24/04/1841,Meeting
"MANNINGHAM AND BRADFORD MOOR.   Mr. Arran will preach at Manningham on Sunday afternoon next, May 2nd, at two o clock ; and lecture at six o clock in the evening, at Bradford Moor.",,Manningham And Bradford Moor,,,7,Northern Star,01/05/1841,Meeting
"ROCHDALE.   Mr. Campbell will lecture next Sunday in Rochdale : so if the Milnrow and Rochdale Chartists can arrange it so, he will lecture at one place at two or hall-past two o clock, and at the other in the evening.",,Rochdale,53.6153659,-2.1557561,7,Northern Star,01/05/1841,Meeting
"SALFORD.   Mr. Doyle-will lecture in Salford on next Sunday evening.	",,Salford,53.4877463,-2.2891921,7,Northern Star,01/05/1841,Meeting
"HUDDERSFIELD.   A public discussion is to take place in the Hall of Science, Bath Buildings, on Monday and Wednesday evenings next, at eight o clock, between the Socialists and Chartists. A great deal of interest is taken in the subject, as a misunderstanding has existed between the parties some time. Committees have been appointed on both sides, and the arrangements entered into. A spirit of inquiry appears to be the cause of this discussion; and no doubt the best arrangements will be brought to bear upon the occasion. The question to be discussed is,  Is the Social system practicable without the Charter ? ",,Huddersfield,53.6467031,-1.7832077,7,Northern Star,01/05/1841,Meeting
"SUNDERLAND.   Mr. Binns will lecture at the Life Boat House on Sunday afternoon, at half-past two o'clock.",,Sunderland,54.9063791,-1.375053,7,Northern Star,01/05/1841,Meeting
"DURHAM.   Mr. Williams will address the Chartists of this place on Monday evening.
TOWER HAMLETS.  Mr. Wall will lecture on Sunday next, the 2nd of May, on the Paper Currency. Lecture to begin at seven o clock.",,Durham,54.7764152,-1.5758539,7,Northern Star,01/05/1841,Meeting
"MOTTRAM.   The Council beg leave to state that their room is open every Thursday night, from eight till ten o clock ; and on Sundays, from two till five o clock ; for the transaction of business and the enrolment of members.",,Mottram,53.4576897,-2.0143757,7,Northern Star,01/05/1841,Meeting
"BIRMINGHAM.   Dr. M Douall has arrived in Birmingham, and issued large bills announcing his intention to deliver two lectures at the Hall of Science, Lawrence-street. The first lecture to take place on Friday evening, at half-past seven o clock ; the second on Sunday afternoon, at half-past one o clock. The lectures are expected to be well attended, as the worthy Doctor is much respected here.
Mr. West will lecture on Sunday evening next, on the   wrongs of Ireland, and the rights she is entitled to. ",,Birmingham,52.4813679,-1.8980726,7,Northern Star,01/05/1841,Meeting
"LAMBETH.   A meeting of the subscribers to the meeting-place, Lambeth, will be held, on business of importance, on Tuesday evening next and all members, likewise, are requested to attend.",,Lambeth,51.5013012,-0.117287,7,Northern Star,01/05/1841,Meeting
"LEICESTER.   The Discussion, Musical, and Teetotal Sections will meet, during the ensuing week, on the nights agreed on. The general meeting, as usual, on Monday night next. Mr. Cooper will preach at Wigston, in the open air, if the weather permits, to-morrow (Sunday) morning, and in the room at All Saints  Open, at night.",,Leicester,52.6367811,-1.1312289,7,Northern Star,01/05/1841,Meeting
"HALIFAX.   A discussion will take place in the Odd Fellows  Hall, Halifax, on the question of a Repeal of the Corn Laws, on Saturday and Monday, the 8th and 10th of May. The chair to be taken precisely at six o clock in the evening on Saturday, and eight o clock in the evening on Monday. Mr. Leech, from Manchester, will attend.",,Halifax,53.725,-1.863,7,Northern Star,01/05/1841,Meeting
"MERTHYR TYDVIL (Glamorganshire).   A discussion will take place at the Working Men s Association Room, on Sunday evening, May 2nd. The question to be discussed    Is it the duty of every person to join the National Charter Association of Great Britain ? ",,Merthyr Tydvil (glamorganshire),51.742892,-3.378049,7,Northern Star,01/05/1841,Meeting
"SALFORD.   The discussion on Capital and Labour was adjourned from last Monday evening until next Monday evening at eight o clock, when a most useful and interesting lecture will take place. It is to be hoped that all our members will attend on this important question.",,Salford,53.4877463,-2.2891921,7,Northern Star,01/05/1841,Meeting
"GATESHEAD.   The Chartists of Gateshead have taken a room in the yard opposite the Flying Horse, Oakwell-gate, and intend to open it to-morrow. A meeting of the members will be held in the above room in the morning, at ten o clock.",,Gateshead,54.9585535,-1.6057003,7,Northern Star,01/05/1841,Meeting
"STALYBRIDGE.   A public meeting of the Chartists will be held in the King-street Chapel, on Monday next, to petition on behalf of the incarcerated victims.
",,Stalybridge,53.4840214,-2.0562536,7,Northern Star,01/05/1841,Meeting
"OLDHAM.   Mr. Butterworth will lecture in Greave-street room, on Sunday next, in the afternoon and at night.",,Oldham,53.5415797,-2.1147831,7,Northern Star,08/05/1841,Meeting
"CLAYTON.   Mr. Arran will lecture at Clayton on Monday evening, May the 10th, at half-past seven o clock.",,Clayton,53.7792,-2.388444,7,Northern Star,08/05/1841,Meeting
"LEEDS.   At a meeting of the Chartist Association Committee, held on Tuesday evening last, it was unanimously resolved,   That a tea should be provided for the Chartists and their friends, on Whit Monday, in the Association-room, Fish Market; the proceeds of which to be given to Mr. O Brien s Fund. Tickets 1s. each, may be had at Mr. Illingworth s, Vicar-lane.",,Leeds,53.7974185,-1.5437941,7,Northern Star,08/05/1841,Meeting
"SUNDERLAND.   Mr. Binns will lecture at the Life-Boat House, in the afternoon, on Sunday, at half past two, and half-past six in the evening. A meeting upon important business connected with Chartism in Sunderland, will be held in the Co-operative Hall.",,Sunderland,54.9063791,-1.375053,7,Northern Star,08/05/1841,Meeting
"BURY.   Mr. Butterworth, of Manchester, will lecture in Bury, on Monday evening next, at eight o clock, H is hoped the good Chartists of Bury will make a strong muster to hear that indefatigable patriot and real advocate of the rights of labour.",,Bury,52.2460367,0.7125173,7,Northern Star,08/05/1841,Meeting
"TROWBRIDGE.   Mr. Vincent will preach at the Democratic Chapel on Sunday, and deliver lectures in the following week, and he will also lecture in every town and village in Wiltshire, where there can be rooms provided for him.",,Trowbridge,51.3191947,-2.2040788,7,Northern Star,08/05/1841,Meeting
"BIRMINGHAM.   Mr. Isaac Barrow will, on Sunday evening next, deliver a lecture to the Chartists, at their room in Oxford-street.",,Birmingham,52.4813679,-1.8980726,7,Northern Star,08/05/1841,Meeting
"DERBY.   Mr. Bairstow s route for the ensuing week will be: in Derby Market-place, on Monday, at Seven o clock in the evening ; Heanor, on Tuesday ; Ilkeston, on Wednesday ; Sandiacre, on Thursday ; Ock-brook, on Friday; and in Derby Market-place again on Tuesday evening, at six o clock.",,Derby,52.9212617,-1.4761491,7,Northern Star,08/05/1841,Meeting
"LEICESTER.   To-night (Saturday,) and Monday and Tuesday nights, will be meetings of a general character, relative to election matters. The ""Musical section  to meet on Wednesday night. Mr. Cooper will preach on Sunday (to-morrow) night, at half-past six, and a collection will be afterwards made, for Mrs. Frost. In the forenoon of the same day, Mr. Cooper will preach at Belgrave at nine, and at Thurmaston at eleven.",,Leicester,52.6367811,-1.1312289,7,Northern Star,08/05/1841,Meeting
DURHAM.   Mr Williams lectures here on the 17th instant.,,Durham,54.7764152,-1.5758539,7,Northern Star,08/05/1841,Meeting
