Meeting:NewspaperText,Meeting:Date of meeting,Meeting:Place,Geolocation:latitude,Geolocation:longitude,Geolocation:zoom_level,Meeting:Newspaper,Dublin Core:Date,itemType
"NEWPORT, WALES.   Mr. Black will preach a sermon here on Sunday evening, at six o clock, for the benefit of Mrs. Morgan, of Tredegar, whose husband was shot at Newport.",,"Newport, Wales",51.5882332,-2.9974967,7,Northern Star,08/05/1841,Meeting
"HUDDERSFIELD.   Mr. James Leech will lecture in the Guildhall of this place on Sunday evening next, at half-past six  A meeting will be held on Tuesday evening next, in the Association Room, Upperhead-row, to elect the executive.",,Huddersfield,53.6467031,-1.7832077,7,Northern Star,08/05/1841,Meeting
"LONDON.   Chartists of London ! do your duty, by attending the Repeal meeting on Sunday evening, May 9th, at seven o clock, at Mr. Roche s, Red Lion, Maze, Tooley-street. Shew your Irish brethren you are their real friends, not their enemies, as Mr, O Connell wishes them to believe. By so doing, you will please a Chartist of twenty years  standing.
",,London,51.5073219,-0.1276474,7,Northern Star,08/05/1841,Meeting
"DAISY HILL, NEAR BRADFORD.   A Chartist Temperance meeting will be holden on Sunday, the 23rd, at two in the afternoon.",,"Daisy Hill, Near Bradford",,,7,Northern Star,22/05/1841,Meeting
"ACCRINGTON.   Mr. George Julian Harney will lecture here, at the Wheat Sheaf, bottom of the Abbey-street, on Wednesday evening, May 26th, at half-past seven.",,Accrington,53.7541156,-2.3655434,7,Northern Star,22/05/1841,Meeting
"BOLTON.   Mr. Leech will lecture in the Oxford-street-room, on Sunday evening next.",,Bolton,53.577694,-2.4288874,7,Northern Star,22/05/1841,Meeting
"ASHTON-UNDER-LYNE. - An important meeting is to be holden in the Chartist room, on Sunday evening, at six o clock.",,Ashton-under-lyne,53.4854941,-2.1120849,7,Northern Star,22/05/1841,Meeting
STROUDWATER.   The tea-party has been deferred till Whit-Monday.,,Stroudwater,43.6561928,-70.3147715,7,Northern Star,22/05/1841,Meeting
"Mrs. Frost.   In consequence of the unsettled state of this lady s affairs, the committee, appointed to get up a Social Tea Festival and Ball, at the John-street institution, Tottenham-court-road, on Monday, May 24th, in honour of Henry Hetherington, ou his release from the Marshalsea, have publicly announced their intention of appropriating the whole of the proceeds to Mrs, Frost and her family. The friends of this persecuted family will, therefore, do well to make immediate application for the remaining tickets, which may be had of Messrs Lovett, Cleave, Hetherington, &c., and at the Social Hall, John-street, at the following prices Tickets for tea and ball, 1s. 6d.; double ditto, 2s. 6d,; tickets, for ball only, Is.; double ditto, 3s. 6d. Tea on the table at five precisely. Ball to commence at nine. An efficient band will be in attendance. Men of London, the voice of your martyred hero, John Frost, echoes across the water, "" Attend ! ",,Mrs,,,7,Northern Star,22/05/1841,Meeting
"WORKING MEN'S HALL, CIRCUS-STREET, NEW-ROAD.   The Rads of Marylebone and Paddington, (two glorious hot-beds of Chartism,) intend having a ball and festival in their New Hall, on Whit-Monday, (May 31st.) A bumper is expected.",,"Working Men's Hall, Circus-street, New-road",,,7,Northern Star,22/05/1841,Meeting
"Chartist Meeting.   Mr. Binns will deliver an address at the Life-boat House, Sunderland, next Sunday afternoon, at half-past two o clock. On Sunday evening Mr. Williams will commence the first of a course of four lectures to be delivered in the Golden Lion room. The first lecture will be on morals, politics, and religion.
",,Chartist Meeting,54.9063791,-1.375053,7,Northern Star,22/05/1841,Meeting
"HECKMONDWIKE. -	Mr. Clisset will preach a sermon in Heckmondwike Market-place, on Sunday morning, June the 13th, on "" the compassion of the Saviour towards the physical wants of the people. ",,Heckmondwike,53.7074371,-1.6754499,7,Northern Star,12/06/1841,Meeting
"FINSBURY.   On Monday evening, the 14th inst., the Finsbury Chartists will meet at Lunt s Coffee House, for the purpose of reorganising new class leaders for the Finsbury district, and earnestly solicit the co-operation of all friends to the cause of democracy.	",,Finsbury,51.5265742,-0.1070713,7,Northern Star,12/06/1841,Meeting
"OLDHAM. - Mr. Bell, from Manchester, lectures here tomorrow afternoon and evening.",,Oldham,53.5415797,-2.1147831,7,Northern Star,12/06/1841,Meeting
"GATESHEAD.   A public meeting is to be held at the top of Oakwell Gate, on Wednesday evening, for the purpose of nominating a candidate to represent this borough in the ensuing Parliament. Messrs Mason, Cook, and others are expected. It is hoped the meeting will be well attended.",,Gateshead,54.9585535,-1.6057003,7,Northern Star,12/06/1841,Meeting
"LONDON.   On Sunday evening next, June the 13th, Mr, Richard Spurr will open the following question for discussion, at the Chartist Koom, 55, Old Bailey,   the present position of the Chartist body, and the best tactics to be adopted for the advancement of our cause at the forthcoming elections ; when it is hoped every one feeling interested in the success of our glorious Charter will attend.",,London,51.5073219,-0.1276474,7,Northern Star,12/06/1841,Meeting
SUNDERLAND.   On Sunday afternoon Mr. Williams will lecture at the Life Boat House ; in the evening he will lecture in the Golden Lion room.,,Sunderland,54.9063791,-1.375053,7,Northern Star,12/06/1841,Meeting
"BISHOP AUCKLAND.   On Sunday afternoon, at two o clock, June the 20th, Mr. Williams will lecture at Bishop Auckland Batts, and on the following evening on West Auckland Green.",,Bishop Auckland,54.6640762,-1.6752864,7,Northern Star,12/06/1841,Meeting
"DERBY.   There will be a delegate meeting held at the Northern Star, Derby, on Sunday, the 20th of June, 1841, at one o clock in the afternoon, to take into consideration the propriety of re-electing Mr. Bairstow as missionary for the town and county of Derby and outskirts of the county. Each of the following places are requested to send a delegate Daffield, Holbrook, Helper, Alfreton, Heanor, Ilkeston, Stappleford, Sandiacre, Sawley, Borrowash, Ockbrook, Spondon, Breaston, Melbourn, Castle Donnington, and Barton-upon-Trent, and any other villages that take an interest in the cause of Chartism. A delegate from any such places will be gladly received. All communications must be sent to Mr. Joseph Turner, at the sign of the Northern Star, top of Bridge-street, Derby.",,Derby,52.9212617,-1.4761491,7,Northern Star,12/06/1841,Meeting
"DEPTFORD.   Mr. Edmund Stallwood will lecture on Sunday evening next, June the 13th, in the Democratic Academy, Deptford, Kent, on the Charter, as a remedy for our political disease, its practicability, means of obtainment, etc.",,Deptford,51.4758453,-0.0215164,7,Northern Star,12/06/1841,Meeting
"HUDDERSFIELD.   On Tuesday evening next a public meeting will be held in the Association Room, w to take into consideration the bloody and unwarrantable conduct of the anti-Corn Law party, aided by Dan s party. ",,Huddersfield,53.6467031,-1.7832077,7,Northern Star,12/06/1841,Meeting
"BILSTON.   It has been determined to hold an open air demonstration in this important mining district, on the 15th of June, to which Messrs. White and Taylor have been invited. 
",,Bilston,52.5700229,-2.0822333,7,Northern Star,12/06/1841,Meeting
"HOLLINGWORTH.   Mr. William Aitkin, of Ashton, schoolmaster, will lecture at the Chartist Meeting Room, on Sunday, the 20th instant.; and Mr. Lutterworth, from Manchester, on Thursday, the 24th instant.",,Hollingworth,53.4634966,-1.9926971,7,Northern Star,19/06/1841,Meeting
"SOUTH LANCASHIRE.   Mr. James Leech will lecture at the following placesOn Sunday, June 20th, at Brown-street, Manchester; Monday, 21at, at Hyde ; Tuesday, 22d, at Staley Bridge ; Wednesday, 23d, at Milnrow ; Thursday, 24th, at Oldham ; and on Friday, 25th, at Shaw.",,South Lancashire,53.8849416,-2.5758971,7,Northern Star,19/06/1841,Meeting
"DEWSBURY.   Mr. George Julian Harney will deliver a lecture in the Market-place, on Sunday, the 20th of June, at six o clock in the evening. Subject ~ Priestcraft tne cause of the ignorance and slavery of mankind.",,Dewsbury,53.6909103,-1.6302142,7,Northern Star,19/06/1841,Meeting
"HECKMONDWIKE.   Mr. Harney will address the people on Monday, the 21st of June, in the Marketplace.",,Heckmondwike,53.7074371,-1.6754499,7,Northern Star,19/06/1841,Meeting
"BRADFORD.   Mr. Harney will address the people on Tuesday, the 22d of June.",,Bradford,53.7941567,-1.7494778,7,Northern Star,19/06/1841,Meeting
"UPPER WORTLEY.   Mr. Harney will address the people on Saturday, the 19th of June.",,Upper Wortley,53.78615685,-1.585932142,7,Northern Star,19/06/1841,Meeting
"BISHOP AUCKLAND AND WEST AUCKLAND.   Mr Williams will lecture at those places, as announced in last week s Star, if not required to go to Leeds.",,Bishop Auckland And West Auckland,54.6352741,-1.7176817,7,Northern Star,19/06/1841,Meeting
"WILWICK.   On Monday next, if the weather-permit, Mr. Skevington will address the men of Wilwick at one o clock at noon ; and the men of Sheepshoad at six o clock, p.m.",,Wilwick,53.257632,-2.1541768,7,Northern Star,19/06/1841,Meeting
"CHESTERFIELD.   A social tea meeting takes place on Tuesday, the 29th instant, in the Meeting Room Hill-side. Tickets, ninepence each, may be had of Mr. Moore, Bedlam ; Mr Martin, Market-square. Mr. Ellis, Market-square; Mr.Barker, Lord s-mill-street; Mr. M Donald, Brampton; and Mr. W. Martin, Hill-side. It is particularly requested that all friends will makeearly application, as the number of tickets will be limited. Several friends from Sheffield will be present, and arrangements are making for the services of the Derbyshire Chartist missionary for that day.",,Chesterfield,53.2352134,-1.4264097,7,Northern Star,19/06/1841,Meeting
"WEST RIDING OF YORKSHIRE.   A West Riding delegate meeting will be held on Sunday, the 20th of June, at ten o clock in the forenoon, in the Large Room over the Co-operative Stores, Dewsbury.",,West Riding Of Yorkshire,,,7,Northern Star,19/06/1841,Meeting
"SUNDERLAND.   Mr. Binns will lecture in the evening, at the Golden Lion Room.
",,Sunderland,54.9063791,-1.375053,7,Northern Star,19/06/1841,Meeting
"WEST RIDING.   Mr. George Julian Harney will lecture at the following places on Saturday, June 26, at Huddersfield ; Monday, June 28, and Tuesday, June 29, at Barnsley ; Wednesday, June 30, at Wakefield ; and on Thursday, July 1, at Horbury.",,West Riding,53.75,-1.666667,7,Northern Star,26/06/1841,Meeting
"SUNDERLAND.   Mr. Binns will lecture at the Life Boat House, on Sunday, in the afternoon, at half-past two, and Mr. Williams in the Golden Lion, at half-past six in the evening.",,Sunderland,54.9063791,-1.375053,7,Northern Star,26/06/1841,Meeting
DARLASTON.   Mr. Candy lectures here on Monday evening.,,Darlaston,52.5733189,-2.0355619,7,Northern Star,26/06/1841,Meeting
WEDNESBURY.   Mr. Candy lectures in the Market Place on Tuesday evening.,,Wednesbury,52.5521806,-2.0224441,7,Northern Star,26/06/1841,Meeting
WOLVERHAMPTON.   Mr. Candy lectures here on Wednesday eveniag.,,Wolverhampton,52.59078695,-2.13056539,7,Northern Star,26/06/1841,Meeting
"BILSTON.   Mr. Candy lectures in the Ball Court, on Thursday evening.",,Bilston,52.5700229,-2.0822333,7,Northern Star,26/06/1841,Meeting
"BLACKBURN.   Mr. Campbell, secretary to the executive will visit Blackburn, on Friday evening the 2nd of July, to lecture and establish an association. He wishes some person to meet him at the railway station.",,Blackburn,53.7497193,-2.4797543,7,Northern Star,26/06/1841,Meeting
PRESTON.   Mr. CampbeIl will address the Chartists at Preston on Saturday evening.,,Preston,53.7589938,-2.7051618,7,Northern Star,26/06/1841,Meeting
"LANCASTER.   Mr. Campbell will visit Lancaster on Sunday, and will lecture to the Chartists if they can have a meeting in the evening.",,Lancaster,54.047,-2.801,7,Northern Star,26/06/1841,Meeting
"BURY.   A discussion on Corn Law repeal is to come off here on Monday evening, between Mr. Bell, of Salford, and a Mr. Kempster, a Corn Law repealer.",,Bury,52.2460367,0.7125173,7,Northern Star,26/06/1841,Meeting
"MOTTRAM.   Mr. John Leech, from Hyde, will lecture here on Sunday, at two o clock in the afternoon.",,Mottram,53.4576897,-2.0143757,7,Northern Star,03/07/1841,Meeting
"WILTSHIRE   In consequence of Mr. Ruffy Ridley going to lecture, in the South parts of Wilts, on Sunday next, the 4th of July, near Mouckton Deverall, the County Council will be postponed till Sunday, July the 11th, when they are requested to attend at North Bradley, at ten o clock in the morning. Mr. Ridley will lecture at Salisbury, on Monday, the 12th instant. All places wishing to have Mr. Ridley, are requested to send to J. Moore, 34, Mortimer-street, Trowbridge.",,Wiltshire In Consequence Of Mr,,,7,Northern Star,03/07/1841,Meeting
"BIRMINGHAM.   The members of the Brown Committee are earnestly requested to attend nest Tuesday evening, at eight o clock, in the School Room of the Chartist Church ; all persons having collecting books to bring them in.",,Birmingham,52.4813679,-1.8980726,7,Northern Star,03/07/1841,Meeting
"DEWSBURY.   Mr. Charles Connor will deliver a lecture in the Chartist Association Room, over the Co-operative Stores, near the Market Cross, Dewsbury, on Sunday next, July 3rd, at half-past six o clock in the evening, and it is expected that Mr. George Julian Harney will attend.",,Dewsbury,53.6909103,-1.6302142,7,Northern Star,03/07/1841,Meeting
"DERBY.	- Mr. Dean Taylor preaches here tomorrow evening, in the market-place, at seven o clock.",,Derby,52.9212617,-1.4761491,7,Northern Star,03/07/1841,Meeting
STAPLEFORD.   Mr. Dean Taylor lectures here on Wednesday evening.,,Stapleford,,,7,Northern Star,03/07/1841,Meeting
ILKESTON.   Mr. Dean Taylor lectures here on Thursday evening.,,Ilkeston,52.9710869,-1.307171,7,Northern Star,03/07/1841,Meeting
HEANOR.   Mr. Dean Taylor lectures here on Friday evening.,,Heanor,53.0147295,-1.3573286,7,Northern Star,03/07/1841,Meeting
"Mr. Leach will lecture at Radcljffe Bridge on Monday, ABhton on Wednesday, and Oldham on Thursday evening next.	",,Mr,,,7,Northern Star,03/07/1841,Meeting
"The South Lancashire Delegate Meeting will take place at the Brown-street Rooms, Manchester, on Sunday, (to-morrow) to take into consideration the best way of conducting the procession to welcome Mr. O Connor and others.",,"The South Lancashire Delegate Meeting Will Take Place At The Brown-street Rooms, Manchester, On Sunday, (to-morrow) To Take Into Consideration The Best Way Of Conducting The Procession To Welcome Mr",,,7,Northern Star,03/07/1841,Meeting
"DALSTON, NEAR CARLISLE.   Mr. Julian Harney will visit York on Wednesday, July the 7th, and at Dalston, near Carlisle, on Saturday, July the 10th. Mr. Harney will visit Newcastle, Sunerland, Darlington, &c., on his return from Carlisle to York.
",,"Dalston, Near Carlisle",,,7,Northern Star,03/07/1841,Meeting
"OLDHAM.   Mr. Hill will preach in Grosvenor-street Chapel on Sunday week, the 25th instant., afternoon and evening.",,Oldham,53.5415797,-2.1147831,7,Northern Star,17/07/1841,Meeting
"HULL.   Mr. Hill will preach in the large room, No. 8, Church  Side to-morrow (Sunday) morning at half-past ten o'clock, and in the evening at six.",,Hull,53.7657076,-0.3370322,7,Northern Star,17/07/1841,Meeting
"SUNDERLAND.   Mr. Binns will lecture at the Life Boat House, on Sunday afternoon, at half-past two.",,Sunderland,54.9063791,-1.375053,7,Northern Star,17/07/1841,Meeting
"Mr. Harney will lecture in Sunderland on Friday evening.	",,Mr,,,7,Northern Star,17/07/1841,Meeting
"DERBY.   Mr. Bairstow lectures here on Sunday afternoon next, at half-past five o'clock, and on Monday evening at seven o clock.",,Derby,52.9212617,-1.4761491,7,Northern Star,17/07/1841,Meeting
"Mr. Bairstow will lecture at Heanor on Tuesday, at Ilkeston on Wednesday, at Stapleford on Thursday, and at Burton on Friday, Saturday, and Sunday, each evening at seven o clock.",,Mr,,,7,Northern Star,17/07/1841,Meeting
"DARLESTON.   Mr. Candy will lecture in the open air,' at the Bull Stakes, on Monday evening.",,Darleston,52.5733189,-2.0355619,7,Northern Star,17/07/1841,Meeting
"HOLLINGWORTH. - MR. John Leech, from Hyde, will lecture at the Chartist Room, Hollingworth, on Sunday, July 18th, at six o clock in the evening, instead of two in the afternoon.",,Hollingworth,53.4634966,-1.9926971,7,Northern Star,17/07/1841,Meeting
"NOTTINGHAM.   Mr. G. Black and Mr. Harrison will preach in the Frost, on Sunday; July 18th, if the weather be favourable; if otherwise, their friends will meet there, as usual, in the chapel, Rice Place, at two o clock in the afternoon, and at six in the evening.",,Nottingham,52.9549771,-1.1511066,7,Northern Star,17/07/1841,Meeting
"CALVERTON.   There will be a tea-party at Mr. Harrison s, of Calverton, on Monday, July 19th. It is hoped as many of our democratic friends, from Nottingham and its vicinity, will attend as can make it convenient.",,Calverton,53.0374,-1.0834,7,Northern Star,17/07/1841,Meeting
"LEEDS.   In consequence of the unfavourable state of the weather on Sunday evening last, the sermons announced to be preached by Messrs. T. B. Smith and J. Parker could not be delivered; if possible the services will be held on Sunday evening next, in the Vicar s Croft, and on Hunslet Moor, as previously announced. ",,Leeds,53.7974185,-1.5437941,7,Northern Star,17/07/1841,Meeting
"PECKHAM.   A public meeting will be held on Tuesday evening next, at eight eight o clock, at the Rosemary Branch, Southampton-street, when a lecture will be delivered by Mr. John Watkins. A full attendance is requested.",,Peckham,51.4734122,-0.0699321,7,Northern Star,17/07/1841,Meeting
"LIVERPOOL.   On Monday, July 19th, Mr. Wardrop, of Dumfries, will discuss the question of Free Trade, as opposed to Monopoly, in the Queen s Theatre, with a Tory opponent, Mr. B. Dix.",,Liverpool,53.4054719,-2.9805393,7,Northern Star,17/07/1841,Meeting
"A meeting of the Female Chartists of Manchester will be held on Wednesday evening next, in the Chartist Room, Tib-street, to pass an address to their sisters of England, Ireland, and Scotland.",,"A Meeting Of The Female Chartists Of Manchester Will Be Held On Wednesday Evening Next, In The Chartist Room, Tib-street, To Pass An Address To Their Sisters Of England, Ireland, And Scotland",,,7,Northern Star,17/07/1841,Meeting
"OLDHAM.   Mr. Hill preaches in Grosvenor-street Chapel to-morrow, at two in the afternoon, and six in the evening.",,Oldham,53.5415797,-2.1147831,7,Northern Star,24/07/1841,Meeting
"HULL.   Mr. Hick, of Leeds, will preach in the large room, No. 8, Church Side, to-morrow, at halfpast ten in the morning, and at half-past six in the evening.",,Hull,53.7657076,-0.3370322,7,Northern Star,24/07/1841,Meeting
"LEEDS AND HUNSLET.   Sermons will be preached to-morrow afternoon in Vicar s Croft, and in the evening on Hunslet Moor, by Messrs. Stflith and Parker.",,Leeds And Hunslet,53.76424865,-1.541944651,7,Northern Star,24/07/1841,Meeting
"Mr. Skevington, of Loughborough, will deliver a lecture in the Chartist meeting room, Hill-side, Chesterfield, on Wednesday evening next, the 29th instant, to commence at half-past seven o clock. A collection will be made after the lecture, to defray the expences.",,Mr,,,7,Northern Star,24/07/1841,Meeting
"NOTTINGHAM.   On Monday evening next, at eight o clock, Mr. J. Skevington, of Loughborough, will lecture in the chapel, Rice-place, Nottingham.  On Tuesday evening, at Mansfield ; and on Wednesday, at Sutton-in-Ashfield.",,Nottingham,52.9549771,-1.1511066,7,Northern Star,24/07/1841,Meeting
"Dean Taylor will preach at the Chartist Chapel, Meadow-side, Arnold, on Sunday, the 25th instant, at six o'clock in the evening.",,"Dean Taylor Will Preach At The Chartist Chapel, Meadow-side, Arnold, On Sunday, The 25th Instant, At Six O'clock In The Evening",,,7,Northern Star,24/07/1841,Meeting
"Mr. Candy will lecture on Monday next, and each evening next week, at seven o clock:",,Mr,,,7,Northern Star,24/07/1841,Meeting
"DARLASTON.   At the Bull Stakes, Darlaston; subject, Old and New Poor Laws.",,Darlaston,52.5733189,-2.0355619,7,Northern Star,24/07/1841,Meeting
"WEDNESBURY.   At the High Bulling, Wednesbury ; subject, Political Economy.",,Wednesbury,52.5521806,-2.0224441,7,Northern Star,24/07/1841,Meeting
"WOLVERHAMPTON.   At the Temperance Coffeo House, Mr. Hoggs', Snow-hill, Wolverhampton; subject, Monarchy and Republicanism.",,Wolverhampton,52.59078695,-2.13056539,7,Northern Star,24/07/1841,Meeting
"BILSTON.   At the Ball Court, Bilston; subject, the Necessity of Union to accomplish our Political Redemption.	 ",,Bilston,52.5700229,-2.0822333,7,Northern Star,24/07/1841,Meeting
"MACCLESFIELD.   The Whigs  funeral sermon will be preached in the Chartist Room, Watercotes, on Sunday evening next, at seven o clock, by Mr. West, when Whigs, ton Law Repealers, Socialists, Sham Radicals, and all other chief mourners are invited to attend.",,Macclesfield,53.2606635,-2.1255158,7,Northern Star,24/07/1841,Meeting
"HALIFAX.   Mr. W. Martin, late student in the Whig colleges, of Northallerton and Lancaster, will preaoh on Sunday next, in the open air, if the weather permit, on the South-end of North-bridge, at four o clock in the afternoon.",,Halifax,53.725,-1.863,7,Northern Star,24/07/1841,Meeting
"SUNDERLAND.   Mr. Williams will lecture at the Life-boat Room, on Sunday afternoon at half-past two. o clock.",,Sunderland,54.9063791,-1.375053,7,Northern Star,24/07/1841,Meeting
"TOWER HAMLETS.   Mr. Wall lectures next Sunday evening, at the Tower Hamlets, on the policy of Whigs and Tories.",,Tower Hamlets,51.516667,-0.05,7,Northern Star,24/07/1841,Meeting
"MARYLEBONE.   Mr. Edmund Stallwood has accepted the invitation of the men of Marylebone, and will lecture in the Working Men s Hall, Circus-street, on Sunday evening next, on the Charter, its principles, their practicability, the means of ob-tainment, &c. &c.",,Marylebone,51.518421,-0.1479115,7,Northern Star,24/07/1841,Meeting
"BELPER. - Mr. Bairstow, the Chartist Missionary, will lecture here on Friday, the 30th, at seven in the evening.",,Belper,53.0229029,-1.4817414,7,Northern Star,24/07/1841,Meeting
"HOLBROOK.   Mr. Bairstow will lecture here on Monday, July 26th, at seven o clock in the evening.",,Holbrook,51.984,1.159,7,Northern Star,24/07/1841,Meeting
"ALFRETON.   Mr. Bairstow will lecture here on Tuesday evening, the 27th, at seven.",,Alfreton,53.0972537,-1.3900241,7,Northern Star,24/07/1841,Meeting
"SWANWICK.   Mr. Bairstow will be here on Wednesday, the 28th, at seven in the evening.",,Swanwick,53.0761731,-1.3993137,7,Northern Star,24/07/1841,Meeting
"RIPLEY.   Mr. Bairstow will lecture here on Thursday evening, the 29th, at seven.",,Ripley,53.0502,-1.4077,7,Northern Star,24/07/1841,Meeting
"MILLFORD.   Mr. Bairstow will lecture here on Saturday, the 31st, at seven o'clock in the evening, and will preach in the Market Place on Sunday, Aug. 1st, at half-past five in the evening.",,Millford,51.71418,-5.04274,7,Northern Star,24/07/1841,Meeting
"BIRMINGHAM.   A soiree will be held in the Chartist Church, Newhall-street, on Monday, the 26th instant, in honour of the liberation of Mr. Brown from Warwick Gaol, when all friends are particularly requested to attend, as the overplus will be for the benefit of the family.",,Birmingham,52.4813679,-1.8980726,7,Northern Star,24/07/1841,Meeting
"WEST RIDING DELEGATE MEETING.   A West-Riding Delegate Meeting will be held on Sunday, August 1st, at ten o clock in the forenoon, in the large room over the co-operative stores, Dewsbury, for the purpose of taking into consideration whether a lecturer shall be appointed in place of George Julian Harney. The regular business of the Riding will also be entered into. It is particularly requested that as many places as possible will send delegates.",,West Riding Delegate Meeting,,,7,Northern Star,24/07/1841,Meeting
"LIVERPOOL.   Mr. William Jones will deliver a lecture in tho Chartist Association Room, Preston-street, on Wednesday evening next, at eight o clock.",,Liverpool,53.4054719,-2.9805393,7,Northern Star,24/07/1841,Meeting
"HUDDERSFIELD.   There will be a delegate meeting held next Sunday the 25th, at six o clock in evening, at the Dog Inn, Kirkgate, on general and important business, when delegates from Holmfirth, Honley, Meltham, Slaithwaite, and Lindley are expected to attend.
",,Huddersfield,53.6467031,-1.7832077,7,Northern Star,24/07/1841,Meeting
"HUNSLET.   Mr. W. Hick will preach on Stock-hill, Hunslet, on Sunday, the 1st of August, at half-past six o clock in the evening, weather permitting.",,Hunslet,53.7834388,-1.5359315,7,Northern Star,31/07/1841,Meeting
"NOTTINGHAMSHIRE.   Mr. W. D. Taylor will lecture in the Chapel, Rice-place, on Monday, August lst;.at Arnold, on Tuesday; at Sutton-in-Ashfield, on Wednesday; and at Mansfield, on Thursday.",,Nottinghamshire,53.166667,-1,7,Northern Star,31/07/1841,Meeting
"MILNROW.   Mr. Francis Louis, of Oldham, will lecture here on Sunday evening, at six o clock.",,Milnrow,53.6082511,-2.1099476,7,Northern Star,31/07/1841,Meeting
"ASHTON. -  The Chartists of this place are requested to meet in their room, on Sunday (to-morrow), at nine o clock in the morning.",,Ashton,53.4911289,-2.0937689,7,Northern Star,31/07/1841,Meeting
"WEST RIDING.   Mr. George Julian Harney will lecture on Monday, August 2nd, at Huddersfield; Tuesday, Lepton; Wednesday, Honley; Thursday, Paddock Friday, Ripponden; and Saturday, Aug. 7th, Warley.",,West Riding,53.75,-1.666667,7,Northern Star,31/07/1841,Meeting
"Mr. Skevington will lecture at Bradford on Saturday, (this evening); at Leeds, in the Association Room, Cheapside, Shambles, on Sunday evening, at seven o clock, and on Monday evening, the 2nd of August, at eight o clock; at York,on Tuesday, the 3rd of August; at Selby, on the 4th; and at Hull, on the 5th; at which places it is requested that arrangements will be made for the above purposes.",,Mr,,,7,Northern Star,31/07/1841,Meeting
"CAMBERWELL AND WALWORTH.   A public meeting of the inhabitants of this district will be holden at the Rose and Crown, on Tuesday, August 3rd, to elect delegates to the Middlesex county meeting.",,Camberwell And Walworth,51.4836516,-0.0942198,7,Northern Star,31/07/1841,Meeting
"MANCHESTER.   A Chartist ball will be holden in the Brown-street Room, on Monday, August 9, for the benefit of O Brien. Gentlemen s tickets, 9d; Ladies, 6d.",,Manchester,53.4791466,-2.2447445,7,Northern Star,31/07/1841,Meeting
"DERBYSHIRE.   Mr. Bairstow lectures at Derby on Monday evening ; at Brearton, on Tuesday; at Sawles, on Wednesday; at Melbourne, on Thursday; and at Castle Donnington, on Friday; at seven o clock each evening, On Sunday he preaches at Derby Market-place, at six in the evening. Collections after each lecture.",,Derbyshire,53.1185033,-1.556617831,7,Northern Star,31/07/1841,Meeting
"WIGAN.   Mr. William Dixon will lecture on Sunday evening next, August 1st, at half-past seven, in the Chartist Association Room, Millgate, on the principles of the People s Charter, and the necessity of the people joining in a thorough union to achieve their political rights,",,Wigan,53.5457188,-2.6264624,7,Northern Star,31/07/1841,Meeting
"STAFFORDSHIRE.   Mr. Candy will lecture at Darlaston, on Monday ; at Wednesbury, on Tuesday ; at Wolverhampton, on Wednesday ; and at Bilston, en Thursday.",,Staffordshire,52.8247017,-2.007449165,7,Northern Star,31/07/1841,Meeting
"SUNDERLAND.   Mr. Binns will lecture at the Life Boat House, on Sunday afternoon, at half-past two o clock.",,Sunderland,54.9063791,-1.375053,7,Northern Star,31/07/1841,Meeting
"LIVERPOOL. - Mr. B. McCartney will lecture in the Association Room, Preston-Street, on Wednesday evening next.",,Liverpool,53.4054719,-2.9805393,7,Northern Star,31/07/1841,Meeting
